datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/2/2004 6:00:00 AM,1/2/2004 1:00:00 AM,1/2/2004 7:00:00 AM,1/2/2004 2:00:00 AM,PJM-W,4676
1/2/2004 7:00:00 AM,1/2/2004 2:00:00 AM,1/2/2004 8:00:00 AM,1/2/2004 3:00:00 AM,PJM-E,23664
1/2/2004 7:00:00 AM,1/2/2004 2:00:00 AM,1/2/2004 8:00:00 AM,1/2/2004 3:00:00 AM,PJM-W,4642
1/2/2004 8:00:00 AM,1/2/2004 3:00:00 AM,1/2/2004 9:00:00 AM,1/2/2004 4:00:00 AM,PJM-E,23552
1/2/2004 8:00:00 AM,1/2/2004 3:00:00 AM,1/2/2004 9:00:00 AM,1/2/2004 4:00:00 AM,PJM-W,4705
1/2/2004 9:00:00 AM,1/2/2004 4:00:00 AM,1/2/2004 10:00:00 AM,1/2/2004 5:00:00 AM,PJM-E,24021
1/2/2004 9:00:00 AM,1/2/2004 4:00:00 AM,1/2/2004 10:00:00 AM,1/2/2004 5:00:00 AM,PJM-W,4780
1/2/2004 10:00:00 AM,1/2/2004 5:00:00 AM,1/2/2004 11:00:00 AM,1/2/2004 6:00:00 AM,PJM-E,25377
1/2/2004 10:00:00 AM,1/2/2004 5:00:00 AM,1/2/2004 11:00:00 AM,1/2/2004 6:00:00 AM,PJM-W,4987
1/2/2004 11:00:00 AM,1/2/2004 6:00:00 AM,1/2/2004 12:00:00 PM,1/2/2004 7:00:00 AM,PJM-E,27728
1/2/2004 11:00:00 AM,1/2/2004 6:00:00 AM,1/2/2004 12:00:00 PM,1/2/2004 7:00:00 AM,PJM-W,5316
1/2/2004 12:00:00 PM,1/2/2004 7:00:00 AM,1/2/2004 1:00:00 PM,1/2/2004 8:00:00 AM,PJM-E,29870
1/2/2004 12:00:00 PM,1/2/2004 7:00:00 AM,1/2/2004 1:00:00 PM,1/2/2004 8:00:00 AM,PJM-W,5689
1/2/2004 1:00:00 PM,1/2/2004 8:00:00 AM,1/2/2004 2:00:00 PM,1/2/2004 9:00:00 AM,PJM-E,31402
1/2/2004 1:00:00 PM,1/2/2004 8:00:00 AM,1/2/2004 2:00:00 PM,1/2/2004 9:00:00 AM,PJM-W,5851
1/2/2004 2:00:00 PM,1/2/2004 9:00:00 AM,1/2/2004 3:00:00 PM,1/2/2004 10:00:00 AM,PJM-E,32467
1/2/2004 2:00:00 PM,1/2/2004 9:00:00 AM,1/2/2004 3:00:00 PM,1/2/2004 10:00:00 AM,PJM-W,6114
1/2/2004 3:00:00 PM,1/2/2004 10:00:00 AM,1/2/2004 4:00:00 PM,1/2/2004 11:00:00 AM,PJM-E,33268
